"Kod";"Nazwa";"Kwota"
0200000;"DOLNOŚLĄSKIE";2133585467,29
0400000;"KUJAWSKO-POMORSKIE";1907097143,13
0600000;"LUBELSKIE";1604757448,52
0800000;"LUBUSKIE";954365788,22
1000000;"ŁÓDZKIE";1843715639,54
1200000;"MAŁOPOLSKIE";2663223097,24
1400000;"MAZOWIECKIE";5889990027,70
1600000;"OPOLSKIE";869607120,10
1800000;"PODKARPACKIE";2093557985,89
2000000;"PODLASKIE";957466657,45
2200000;"POMORSKIE";2242429201,10
2400000;"ŚLĄSKIE";2794059664,45
2600000;"ŚWIĘTOKRZYSKIE";1022147192,68
2800000;"WARMIŃSKO-MAZURSKIE";1180918671,80
3000000;"WIELKOPOLSKIE";2406432116,49
3200000;"ZACHODNIOPOMORSKIE";1577735000,79
